R,x0,y0,charge,r_g,R_over_rg,dist0,m_mode,trapped
8,10,20,1.0,1.0,8,22.360679774997898,0,0
8,20,-10,1.0,1.0,8,22.360679774997898,0,0
8,20,-3,1.0,1.0,8,20.223748416156685,0,0
8,20,0,1.0,1.0,8,20.0,0,0
8,20,3,1.0,1.0,8,20.223748416156685,0,0
8,20,10,1.0,1.0,8,22.360679774997898,0,0
8,20,20,1.0,1.0,8,28.284271247461902,0,0
8,30,-10,1.0,1.0,8,31.622776601683793,0,0
8,30,-3,1.0,1.0,8,30.14962686336267,0,0
8,30,0,1.0,1.0,8,30.0,0,0
8,30,3,1.0,1.0,8,30.14962686336267,0,0
8,30,10,1.0,1.0,8,31.622776601683793,0,0
8,30,20,1.0,1.0,8,36.05551275463989,0,0
10,-15,-10,1.0,1.0,10,18.027756377319946,0,1
10,-15,-3,1.0,1.0,10,15.297058540778355,0,1
10,-15,0,1.0,1.0,10,15.0,0,1
10,-15,3,1.0,1.0,10,15.297058540778355,0,1
10,-15,10,1.0,1.0,10,18.027756377319946,0,1
10,-15,20,1.0,1.0,10,25.0,0,0
10,-5,-10,1.0,1.0,10,11.180339887498949,0,1
10,-5,-3,1.0,1.0,10,5.830951894845301,0,1
10,-5,0,1.0,1.0,10,5.0,0,1
10,-5,3,1.0,1.0,10,5.830951894845301,0,1
10,-5,10,1.0,1.0,10,11.180339887498949,0,1
10,-5,20,1.0,1.0,10,20.615528128088304,0,0
10,0,-10,1.0,1.0,10,10.0,0,1
10,0,-3,1.0,1.0,10,3.0,0,1
10,0,0,1.0,1.0,10,0.0,0,1
10,0,3,1.0,1.0,10,3.0,0,1
10,0,10,1.0,1.0,10,10.0,0,1
10,0,20,1.0,1.0,10,20.0,0,0
10,5,-10,1.0,1.0,10,11.180339887498949,0,1
10,5,-3,1.0,1.0,10,5.830951894845301,0,1
10,5,0,1.0,1.0,10,5.0,0,1
10,5,3,1.0,1.0,10,5.830951894845301,0,1
10,5,10,1.0,1.0,10,11.180339887498949,0,1
10,5,20,1.0,1.0,10,20.615528128088304,0,0
10,10,-10,1.0,1.0,10,14.142135623730951,0,1
10,10,-3,1.0,1.0,10,10.44030650891055,0,1
10,10,0,1.0,1.0,10,10.0,0,1
10,10,3,1.0,1.0,10,10.44030650891055,0,1
10,10,10,1.0,1.0,10,14.142135623730951,0,1
10,10,20,1.0,1.0,10,22.360679774997898,0,0
10,20,-10,1.0,1.0,10,22.360679774997898,0,0
10,20,-3,1.0,1.0,10,20.223748416156685,0,0
10,20,0,1.0,1.0,10,20.0,0,1
10,20,3,1.0,1.0,10,20.223748416156685,0,0
10,20,10,1.0,1.0,10,22.360679774997898,0,0
10,20,20,1.0,1.0,10,28.284271247461902,0,0
10,30,-10,1.0,1.0,10,31.622776601683793,0,0
10,30,-3,1.0,1.0,10,30.14962686336267,0,0
10,30,0,1.0,1.0,10,30.0,0,0
10,30,3,1.0,1.0,10,30.14962686336267,0,0
10,30,10,1.0,1.0,10,31.622776601683793,0,0
10,30,20,1.0,1.0,10,36.05551275463989,0,0
15,-15,-10,1.0,1.0,15,18.027756377319946,0,1
15,-15,-3,1.0,1.0,15,15.297058540778355,0,1
15,-15,0,1.0,1.0,15,15.0,0,1
15,-15,3,1.0,1.0,15,15.297058540778355,0,1
15,-15,10,1.0,1.0,15,18.027756377319946,0,1
15,-15,20,1.0,1.0,15,25.0,0,1
15,-5,-10,1.0,1.0,15,11.180339887498949,0,1
15,-5,-3,1.0,1.0,15,5.830951894845301,0,1
15,-5,0,1.0,1.0,15,5.0,0,1
15,-5,3,1.0,1.0,15,5.830951894845301,0,1
15,-5,10,1.0,1.0,15,11.180339887498949,0,1
15,-5,20,1.0,1.0,15,20.615528128088304,0,1
15,0,-10,1.0,1.0,15,10.0,0,1
15,0,-3,1.0,1.0,15,3.0,0,1
15,0,0,1.0,1.0,15,0.0,0,1
15,0,3,1.0,1.0,15,3.0,0,1
15,0,10,1.0,1.0,15,10.0,0,1
15,0,20,1.0,1.0,15,20.0,0,1
15,5,-10,1.0,1.0,15,11.180339887498949,0,1
15,5,-3,1.0,1.0,15,5.830951894845301,0,1
15,5,0,1.0,1.0,15,5.0,0,1
15,5,3,1.0,1.0,15,5.830951894845301,0,1
15,5,10,1.0,1.0,15,11.180339887498949,0,1
15,5,20,1.0,1.0,15,20.615528128088304,0,1
15,10,-10,1.0,1.0,15,14.142135623730951,0,1
15,10,-3,1.0,1.0,15,10.44030650891055,0,1
15,10,0,1.0,1.0,15,10.0,0,1
15,10,3,1.0,1.0,15,10.44030650891055,0,1
15,10,10,1.0,1.0,15,14.142135623730951,0,1
15,10,20,1.0,1.0,15,22.360679774997898,0,1
15,20,-10,1.0,1.0,15,22.360679774997898,0,1
15,20,-3,1.0,1.0,15,20.223748416156685,0,1
15,20,0,1.0,1.0,15,20.0,0,1
15,20,3,1.0,1.0,15,20.223748416156685,0,1
15,20,10,1.0,1.0,15,22.360679774997898,0,1
15,20,20,1.0,1.0,15,28.284271247461902,0,1
15,30,-10,1.0,1.0,15,31.622776601683793,0,0
15,30,-3,1.0,1.0,15,30.14962686336267,0,0
15,30,0,1.0,1.0,15,30.0,0,1
15,30,3,1.0,1.0,15,30.14962686336267,0,0
15,30,10,1.0,1.0,15,31.622776601683793,0,0
15,30,20,1.0,1.0,15,36.05551275463989,0,0
20,-15,-10,1.0,1.0,20,18.027756377319946,0,1
20,-15,-3,1.0,1.0,20,15.297058540778355,0,1
20,-15,0,1.0,1.0,20,15.0,0,1
20,-15,3,1.0,1.0,20,15.297058540778355,0,1
20,-15,10,1.0,1.0,20,18.027756377319946,0,1
20,-15,20,1.0,1.0,20,25.0,0,1
20,-5,-10,1.0,1.0,20,11.180339887498949,0,1
20,-5,-3,1.0,1.0,20,5.830951894845301,0,1
20,-5,0,1.0,1.0,20,5.0,0,1
20,-5,3,1.0,1.0,20,5.830951894845301,0,1
20,-5,10,1.0,1.0,20,11.180339887498949,0,1
20,-5,20,1.0,1.0,20,20.615528128088304,0,1
20,0,-10,1.0,1.0,20,10.0,0,1
20,0,-3,1.0,1.0,20,3.0,0,1
20,0,0,1.0,1.0,20,0.0,0,1
20,0,3,1.0,1.0,20,3.0,0,1
20,0,10,1.0,1.0,20,10.0,0,1
20,0,20,1.0,1.0,20,20.0,0,1
20,5,-10,1.0,1.0,20,11.180339887498949,0,1
20,5,-3,1.0,1.0,20,5.830951894845301,0,1
20,5,0,1.0,1.0,20,5.0,0,1
20,5,3,1.0,1.0,20,5.830951894845301,0,1
20,5,10,1.0,1.0,20,11.180339887498949,0,1
20,5,20,1.0,1.0,20,20.615528128088304,0,1
20,10,-10,1.0,1.0,20,14.142135623730951,0,1
20,10,-3,1.0,1.0,20,10.44030650891055,0,1
20,10,0,1.0,1.0,20,10.0,0,1
20,10,3,1.0,1.0,20,10.44030650891055,0,1
20,10,10,1.0,1.0,20,14.142135623730951,0,1
20,10,20,1.0,1.0,20,22.360679774997898,0,1
20,20,-10,1.0,1.0,20,22.360679774997898,0,1
20,20,-3,1.0,1.0,20,20.223748416156685,0,1
20,20,0,1.0,1.0,20,20.0,0,1
20,20,3,1.0,1.0,20,20.223748416156685,0,1
20,20,10,1.0,1.0,20,22.360679774997898,0,1
20,20,20,1.0,1.0,20,28.284271247461902,0,1
20,30,-10,1.0,1.0,20,31.622776601683793,0,1
20,30,-3,1.0,1.0,20,30.14962686336267,0,1
20,30,0,1.0,1.0,20,30.0,0,1
20,30,3,1.0,1.0,20,30.14962686336267,0,1
20,30,10,1.0,1.0,20,31.622776601683793,0,1
20,30,20,1.0,1.0,20,36.05551275463989,0,1
0.5,-15,-10,-1.0,1.0,0.5,18.027756377319946,0,0
0.5,-15,-3,-1.0,1.0,0.5,15.297058540778355,0,0
0.5,-15,0,-1.0,1.0,0.5,15.0,0,0
0.5,-15,3,-1.0,1.0,0.5,15.297058540778355,0,0
0.5,-15,10,-1.0,1.0,0.5,18.027756377319946,0,0
0.5,-15,20,-1.0,1.0,0.5,25.0,0,0
0.5,-5,-10,-1.0,1.0,0.5,11.180339887498949,0,0
0.5,-5,-3,-1.0,1.0,0.5,5.830951894845301,0,1
0.5,-5,0,-1.0,1.0,0.5,5.0,0,1
0.5,-5,3,-1.0,1.0,0.5,5.830951894845301,0,0
0.5,-5,10,-1.0,1.0,0.5,11.180339887498949,0,0
0.5,-5,20,-1.0,1.0,0.5,20.615528128088304,0,0
0.5,0,-10,-1.0,1.0,0.5,10.0,0,0
0.5,0,-3,-1.0,1.0,0.5,3.0,0,0
0.5,0,0,-1.0,1.0,0.5,0.0,0,1
0.5,0,3,-1.0,1.0,0.5,3.0,0,0
0.5,0,10,-1.0,1.0,0.5,10.0,0,0
0.5,0,20,-1.0,1.0,0.5,20.0,0,0
0.5,5,-10,-1.0,1.0,0.5,11.180339887498949,0,0
0.5,5,-3,-1.0,1.0,0.5,5.830951894845301,0,0
0.5,5,0,-1.0,1.0,0.5,5.0,0,1
0.5,5,3,-1.0,1.0,0.5,5.830951894845301,0,1
0.5,5,10,-1.0,1.0,0.5,11.180339887498949,0,0
